iter	MultiClass
0	1.079691042
1	1.064437821
2	1.051614699
3	1.040620997
4	1.031790226
5	1.023674426
6	1.015532066
7	1.00845847
8	1.002039719
9	0.9960967814
10	0.9910396276
11	0.9861826047
12	0.9821205856
13	0.978569572
14	0.9752870567
15	0.9723669515
16	0.9699166141
17	0.967244804
18	0.9644613764
19	0.961891934
20	0.9595749287
21	0.95737758
22	0.9551851194
23	0.9528351786
24	0.951204849
25	0.9494634089
26	0.9475243332
27	0.9458914833
28	0.9444654274
29	0.9430953206
30	0.9417653707
31	0.9402942801
32	0.9391974399
33	0.9379948581
34	0.9368334344
35	0.9356474961
36	0.9341971439
37	0.9331519354
38	0.9320572569
39	0.9308508601
40	0.92989083
41	0.9289553227
42	0.9280851894
43	0.9273315037
44	0.9265318169
45	0.9255617974
46	0.9247072752
47	0.9240036626
48	0.9233607725
49	0.9226893669
50	0.9217004126
51	0.9208847334
52	0.9201978058
53	0.9193983618
54	0.918628928
55	0.9176915817
56	0.9170073497
57	0.916551348
58	0.9160286121
59	0.9153842492
60	0.9149213416
61	0.9140576125
62	0.9137246876
63	0.9130203238
64	0.912583658
65	0.9119425535
66	0.9114918219
67	0.9109013101
68	0.9107982979
69	0.9102814677
70	0.9097616249
71	0.9093351754
72	0.9087604977
73	0.9082882053
74	0.9079162896
75	0.9075354705
76	0.9069865709
77	0.9065701034
78	0.906300927
79	0.9058621325
80	0.9056002808
81	0.9051117454
82	0.9046592613
83	0.9043088904
84	0.9040365185
85	0.9037517224
86	0.9033911664
87	0.9030053602
88	0.9026205091
89	0.9020943856
90	0.9017211864
91	0.9014997939
92	0.9013862288
93	0.9009944577
94	0.9008010315
95	0.9005777857
96	0.900388394
97	0.900115155
98	0.8997777325
99	0.8994021189
100	0.8990396707
101	0.8987327182
102	0.8979565821
103	0.8977291923
104	0.8975010424
105	0.8971559082
106	0.8968074961
107	0.8966101787
108	0.8964264667
109	0.896239015
110	0.8960477171
111	0.8956631156
112	0.8953319466
113	0.8948540779
114	0.8946734849
115	0.8942181622
116	0.8938682612
117	0.8936032229
118	0.8932908148
119	0.8929294728
120	0.8928021336
121	0.8924686844
122	0.89229342
123	0.8917492231
124	0.8913601768
125	0.8909834839
126	0.8904983607
127	0.8901486601
128	0.8899924903
129	0.8898695708
130	0.8896592046
131	0.8893761291
132	0.8891172922
133	0.8888144696
134	0.8884572807
135	0.8879990749
136	0.8875168605
137	0.88736461
138	0.8870541996
139	0.8867389722
140	0.8860304768
141	0.8859203204
142	0.8856734536
143	0.8854856642
144	0.8851783098
145	0.8849130666
146	0.8845999125
147	0.8844486243
148	0.8841666307
149	0.8837349241
150	0.8834297325
151	0.8831618538
152	0.8826029681
153	0.8823688548
154	0.8820950201
155	0.8817962688
156	0.8813630912
157	0.8808677619
158	0.880634021
159	0.8803503982
160	0.8799316841
161	0.8797416648
162	0.8794773135
163	0.8793381656
164	0.8791264415
165	0.8788892946
166	0.8786188857
167	0.8784643997
168	0.8783594371
169	0.8782168114
170	0.8779832619
171	0.87768843
172	0.8775986315
173	0.8774548603
174	0.877152611
175	0.8766373443
176	0.8763599029
177	0.8761163927
178	0.8758556192
179	0.8755534179
180	0.8753128981
181	0.8751035059
182	0.8747875269
183	0.8745561125
184	0.8744163261
185	0.8741110822
186	0.8739060525
187	0.8736442474
188	0.8733828483
189	0.8729898869
190	0.8727850939
191	0.8723962776
192	0.8721118707
193	0.8719571265
194	0.8717751236
195	0.8714979413
196	0.8713078244
197	0.8710496116
198	0.8709136961
199	0.8707196336
200	0.870121681
201	0.8699744078
202	0.8697488051
203	0.8695928438
204	0.8695125776
205	0.8694000063
206	0.8692029519
207	0.8689543394
208	0.8686681182
209	0.8685499698
210	0.8683345747
211	0.8680790006
212	0.8679216231
213	0.867694331
214	0.8675432843
215	0.867264599
216	0.867128658
217	0.8670534251
218	0.8669162066
219	0.8667778987
220	0.8665920478
221	0.866364969
222	0.8661225817
223	0.8659193144
224	0.8657719466
225	0.8655463689
226	0.8653284111
227	0.8650218206
228	0.864857236
229	0.8645274861
230	0.8644019145
231	0.8640760969
232	0.8637767166
233	0.8635756929
234	0.8632992965
235	0.8632018767
236	0.8629910062
237	0.8627306066
238	0.8625246132
239	0.8622881834
240	0.862169514
241	0.8619852036
242	0.861825627
243	0.8616769581
244	0.8614257274
245	0.8612266782
246	0.861058088
247	0.8608794874
248	0.8608022653
249	0.8604687125
250	0.8603721534
251	0.8603192893
252	0.8600330973
253	0.85979836
254	0.8596310243
255	0.859487867
256	0.8592586756
257	0.8591454591
258	0.8589562679
259	0.8586803082
260	0.858423523
261	0.8582245642
262	0.8579892083
263	0.8576486336
264	0.8574618182
265	0.8572565688
266	0.8570810633
267	0.8569824593
268	0.8567101423
269	0.856452225
270	0.8562683802
271	0.8560681661
272	0.8559618009
273	0.8557832287
274	0.8555954227
275	0.8554778192
276	0.8552537748
277	0.8550884465
278	0.8548978529
279	0.8547131953
280	0.8545592151
281	0.8543380953
282	0.854229725
283	0.8540700692
284	0.8538595081
285	0.8537032055
286	0.8536326506
287	0.8533742122
288	0.8531779807
289	0.8530643655
290	0.8528587993
291	0.8527795623
292	0.8526291919
293	0.8525021095
294	0.8523634656
295	0.8521553857
296	0.8520108742
297	0.851837679
298	0.8516611301
299	0.8513644318
